English,Chinese
is Deleted Sucessfully!,已成功刪除！
To date should not be greater than current date.,迄今為止不應大於當前日期。
Invoice generation completed.,發票生成完成。
No data found,沒有找到數據
Invoices removed successfully,發票已成功刪除
The Prefix field must contain a unique value.,前綴字段必須包含唯一值。
The IP field must contain a unique value.,IP字段必須包含唯一值。
IP Map added successfully!,IP地圖添加成功！
IP Map removed successfully!,IP地圖已成功刪除！
Localization Added Successfully!,本地化已成功添加！
Localization Updated Successfully!,本地化已成功更新！
Localization Removed Successfully!,本地化已成功刪除！
Globalization is already exist in this system,該系統中已經存在全球化
Dispatcher Updated Successfully!,調度程序已成功更新！
Dispatcher Added Successfully!,分派器已成功添加！
Dispatcher Removed Successfully!,調度程序已成功刪除！
Code is already in system,代碼已在系統中
Country is already in system,國家已經在系統中
Ratedeck updated successfully!,Ratingeck更新成功！
Ratedeck added successfully!,Ratingeck已成功添加！
Ratedeck removed successfully!,評分等級成功刪除！
Duplicate Ratedeck Number found from import file.,從導入文件中找到重複的Ratingeck編號。
Ratedeck Imported Successfully!,Ratingeck已成功導入！
Ratedeck Import Error,額定進口誤差
Back to Ratedeck List,返回評分列表
Origination Rate Imported Successfully!,原始率已成功導入！
Origination Rate Updated Successfully!,發起率已成功更新！
Origination Rate Added Successfully!,成功添加始發率！
Termination Rates Batch Updated Successfully!,終止率批次成功更新！
Map CSV to Termination Rates,將CSV映射到終止率
Data Example,資料範例
Map to Field,映射到字段
PREFIX/DEFAULT VALUE,前綴/默認值
ASTPP Field,ASTPP領域
Created,已建立
Modified,改性
You can not create,您無法創建
Refill coupon with,充值優惠券
You can create maximum,您可以創建最大值
Refill coupon created successfully!,增值券成功創建！
Currency Added Successfully!,貨幣成功添加！
Currency Removed Successfully!,貨幣已成功刪除！
Backup Exported Successfully!,備份已成功導出！
An error occur when the system tried to backup of the database. Please check yours system settings for the backup section,系統嘗試備份數據庫時發生錯誤。請檢查備份部分的系統設置
Database Restore successfully.,數據庫還原成功。
File not exists!,文件不存在！
There is a some issue or invalid file format.,存在某些問題或文件格式無效。
Database backup deleted successfully.,數據庫備份已成功刪除。
Languages updated successfully!,語言更新成功！
Languages removed successfully!,語言已成功刪除！
Languages added successfully!,語言已成功添加！
Translation updated successfully!,翻譯成功更新！
Translation added successfully!,翻譯添加成功！
Update Languages,更新語言
Speed Dial,快速撥號
Payment,付款
Method,方法
Once you confirm the invoice,確認發票後
Payment Gateway Permission,支付網關權限
Zip Code,郵政編碼
Yes,是
Back,背部
Edit Reseller,編輯轉銷商
Asignar DID a granel,Asignar DID花崗岩
DIDs Search,DID搜索
By Month,按月
Create Gateway,創建網關
Calling Card Language,電話卡語言
Last,持續
Pay Date,付款日期
Purchase DID,購買DID
Caller-ID-A-Form,來電顯示表格
Expire Seconds,過期秒數
Termination Date,終止日期
Registration Date,登記日期
Payment By,付款方式
Product Status,產品狀態
Minute,分鐘
Hour,小時
Day,天
Month,月
Year,年
List,清單
Edit,編輯
Not Avaialable any Subscription.,沒有可用的任何訂閱。
Not Avaialable any Package for this Country.,此國家/地區沒有任何包裝。
You can only transfer fund in same level account.,您只能在同一級別的帳戶中轉帳資金。
You can not transfer fund in same account.,您不能在同一帳戶中轉帳資金。
Monthly Fee,月租費
Bulk DID Assign,批量DID分配
Invoice Start From,發票從
Edit Gateway,編輯網關
Number Of Default Rows,默認行數
Mobile Dialer,手機撥號器
Trunk Count,行李箱數
Welcome File,歡迎文件
Local Call Timeout (Sec.),本地通話超時（秒）
Rate check for DID,DID費率檢查
DID Localization,DID本地化
Voicemail Number,語音信箱號碼
OTP Expire Time(min),OTP過期時間（分鐘）
Edit Provider,編輯提供者
Product Summary Reports,產品摘要報告
Edit Origination Rate,編輯始發率
Dialplan Variable,Dialplan變量
Uninstall,卸載
Call Stat,通話統計
Failed Calls,通話失敗
Top 10 Countries,十大國家
By Minutes,按分鐘
By Calls,通過電話
Telephone number is only numeric,電話號碼僅是數字
Please enter valid Captcha code,請輸入有效的驗證碼
Please contact to administrator,請與管理員聯繫
Requested email is already exist,要求的電子郵件已經存在
Requested number is already exist,要求的號碼已經存在
Please enter correct words!,請輸入正確的單詞！
THIS IS REQUIRED!,這是必需的！
Your account has been deleted. Please contact administrator for more information.,您的帳戶已被刪除。請聯繫管理員以獲取更多信息。
Your account is inactive. Please contact administrator for more information.,您的帳戶無效。請聯繫管理員以獲取更多信息。
Please enter proper Email.,請輸入正確的電子郵件。
Please enter proper Username.,請輸入正確的用戶名。
This Username or Email is not valid.,此用戶名或電子郵件無效。
ASTPP - A Smart TelePhony Platform,ASTPP-智能電話平台
Forgot Password,忘記密碼
ASTPP work best with JavaScript enabled,ASTPP在啟用JavaScript的情況下效果最佳
Enter Your Password,輸入密碼
Confirm Password,確認密碼
The Email field is Required,電子郵件字段為必填
The Account Number field is Required,帳號字段為必填項
Set Default Language,設置默認語言
Please Re-login to get Impact of selected language.,請重新登錄以獲得所選語言的影響力。
Default Language,預設語言
Signup now!,立即註冊！
Forgot Password?,忘記密碼？
Sign in,登入
Username OR Email,用戶名或電子郵件
Username is Required,用戶名為必填項
Password is Required,密碼是必需的
Please Check Your account is deleted or inactive from admin side,請檢查您的帳戶已從管理員端刪除或處於無效狀態
Please do not use default or less secure password for your account!! You must change password from,請不要為您的帳戶使用默認密碼或不太安全的密碼！您必須更改密碼
HERE,這裡
Login unsuccessful. Please make sure you entered the correct username and password,登錄失敗。請確保輸入正確的用戶名和密碼
Please enter Username/email and Password.,請輸入用戶名/電子郵件和密碼。
Payment transaction invalid. Please contact Administrator.,付款交易無效。請聯繫管理員。
Log In,登錄
Please Enter Password,請輸入密碼
Password must be at least 8 characters and must contain at least one lower case letter,密碼必須至少包含8個字符，並且必須包含至少一個小寫字母
Please Enter Confirm Password,請輸入確認密碼
Confirm Password is not match,確認密碼不匹配
We sent update password link.,我們發送了更新密碼鏈接。
Please check your Email!,請檢查您的電子郵件！
Login,登錄
OTP Verification,OTP驗證
OTP Number is Required,必須輸入OTP號
Your account created successfully and account details sent to your registered email address,您的帳戶已成功創建，帳戶詳細信息已發送到您的註冊電子郵件地址
Your password change successfully and new password sent to your registered email address,您的密碼更改成功，新密碼已發送到您的註冊電子郵件地址
OTP Number is Wrong Please try again Or OTP expire Please Resend,OTP編號錯誤，請重試或OTP過期，請重新發送
OTP has been sent on your email or Telephone number,OTP已通過您的電子郵件或電話號碼發送
OTP,一次性密碼
Resend OTP,重新發送OTP
OTP Sent time Out,OTP發送超時
Not Get OTP ?,無法獲得OTP嗎？
Note:,注意：
Please make sure do not refresh the page or don't go back,請確保不要刷新頁面或不返回
Login unsuccessful. Please make sure you entered the correct username and password,登錄失敗。請確保輸入正確的用戶名和密碼
Your account has been created successfully!,您的帳戶已成功創建！
Here is your login information,這是您的登錄信息
Link is Expire Please Try Again,鏈接已過期，請重試
Sorry,抱歉
Please contact administrator for more information,請聯繫管理員以獲取更多信息
Successful!,成功！
Captcha is required,必須輸入驗證碼
First Name is Required,名字為必填項
Telephone is Required,需要電話
Email is Required,電子郵件為必填項
Please enter a valid email address,請輸入有效的電子郵件地址
Please make sure you entered the correct username and password,請確保輸入正確的用戶名和密碼
Company Name,公司名
Enter above Captcha,在驗證碼上方輸入
Sign up,註冊
Already Registered !,已經註冊 ！
January,一月
February,二月
March,遊行
April,四月
May,可能
June,六月
July,七月
August,八月
September,九月
October,十月
November,十一月
December,十二月
Doesn't Contain,不包含
Greater Than,比...更棒
Less Than,少於
Greater Or Equal Than,大於等於
Less Or Equal Than,小於或等於
Set To,設置
Increase By,通過增加
Decrease By,減少
Community,社區
You must either select a field from your file OR provide a default value for the following fields:,您必須從文件中選擇一個字段，或者為以下字段提供默認值：
Note : Records with duplicate account number and email will be ignored.,注意：具有重複帳號和電子郵件的記錄將被忽略。
Map CSV to Customers,將CSV映射到客戶
Account Information,帳戶信息
Select Account,選擇帳號
DEFAULT VALUE,默認值
SIP Username,SIP用戶名
sip_username,sip_username
SIP Password,SIP密碼
Same as Password,與密碼相同
Same as Account Number,與帳號相同
Random,隨機
Import File Data.,導入文件數據。
Process Records,工藝記錄
Note : Duplicate accounts with account number / email are ignored.,注意：具有帳號/電子郵件的重複帳戶將被忽略。
Remove,去掉
Number of Account,帳號數
Account Number Length,帳號長度
DID (CLI Match,DID（CLI比賽
Caller Id (CLI Match,來電顯示（CLI匹配
Use NON-CLI Rate Group (If CLI not match with DID),使用NON-CLI費率組（如果CLI與DID不匹配）
Use NON-CLI Rate Group (If CLI not match with Caller ID),使用NON-CLI費率組（如果CLI與呼叫者ID不匹配）
Use NON-CLI Rate Group (If CLI not match with DID & Caller id),使用NON-CLI費率組（如果CLI與DID和呼叫者ID不匹配）
Reject Call (If CLI not match with DID),拒絕呼叫（如果CLI與DID不匹配）
Reject Call (If CLI not match with Caller ID),拒絕呼叫（如果CLI與呼叫者ID不匹配）
Reject Call (If CLI not match with DID & Caller id),拒絕呼叫（如果CLI與DID和呼叫者ID不匹配）
--Select--, - 選擇 - 
Test Mail,測試郵件
Reset Password,重設密碼
AFGHANISTAN,阿富汗
ALBANIA,阿爾巴尼亞
ALGERIA,阿爾及利亞
AMERICAN SAMOA,美國薩摩亞
ANDORRA,安道爾
ANGOLA,安哥拉
ANGUILLA,安吉拉
ANTIGUA & BARBUDA,安提瓜和巴布達
ARGENTINA,阿根廷
ARMENIA,亞美尼亞
ARUBA,阿魯巴
AUSTRALIA,澳大利亞
AUSTRIA,奧地利
AZERBAIJAN,阿塞拜疆
BAHAMAS,巴哈馬
BAHRAIN,巴林
BANGLADESH,孟加拉國
BARBADOS,巴巴多斯
BELARUS,白俄羅斯
BELGIUM,比利時
BELIZE,相信
BENIN,貝寧
BERMUDA,百慕大
BHUTAN,不丹
BOLIVIA,玻利維亞
BOSNIA AND HERZEGOVINA,波斯尼亞和黑塞哥維那
BOTSWANA,博茨瓦納
BRAZIL,巴西
BRITISH VIRGIN ISLANDS,英國處女島
BRUNEI,文萊
BULGARIA,保加利亞
BURKINA FASO,布基納法索
BURUNDI,布隆迪
CAMBODIA,柬埔寨
CAMEROON,喀麥隆
CANADA,加拿大
CAPE VERDE,佛得角
CAYMAN ISLANDS,開曼群島
CENTRAL AFRICAN REPUBLIC,中非共和國
CHAD,乍得
CHILE,智利
CHINA,中國
COLOMBIA,哥倫比亞
COMOROS,科摩羅
CONGO,剛果
COSTA RICA,哥斯達黎加
CROATIA,克羅地亞
CUBA,古巴
CYPRUS,塞浦路斯
CZECH REPUBLIC,捷克共和國
DEMOCRATIC REPUBLIC,民主共和國
DENMARK,丹麥
DJIBOUTI,吉布提
DOMINICA,多米尼加
DOMINICAN REPUBLIC,多明尼加共和國
ECUADOR,厄瓜多爾
EGYPT,埃及
EL SALVADOR,薩爾瓦多
EQUATORIAL GUINEA,赤道幾內亞
ERITREA,厄立特里亞
ERITREA,厄立特里亞
ETHIOPIA,埃塞俄比亞
FAEROE ISLANDS,法羅群島
FIJI ISLANDS,斐濟群島
FINLAND,芬蘭
FRANCE,法國
FRENCH GUIANA,法屬圭亞那
FRENCH POLYNESIA,法屬波利尼西亞
GABON,加蓬
GAMBIA,岡比亞
GEORGIA,格魯吉亞
GERMANY,德國
GHANA,加納
GIBRALTAR,吉拉塔爾
GREECE,希臘
GRENADA,格林納達
GUADELOUPE,瓜德羅普島
GUAM,關島
GUATEMALA,危地馬拉
GUINEA,幾內亞
GUINEA BISSAU,幾內亞比紹
GUYANA,瓜亞那
HAITI,海地
HONDURAS,洪都拉斯
HONG KONG,香港
HUNGARY,匈牙利
ICELAND,冰島
INDIA,印度
INDONESIA,印度尼西亞
IRAN,伊朗
IRAQ,伊拉克
IRELAND,愛爾蘭
ISRAEL,以色列
ITALY,意大利
IVORY COAST,象牙海岸
JAMAICA,牙買加
JAPAN,日本
JORDAN,約旦
KAZAKHSTAN,哈薩克斯坦
KENYA,肯尼亞
KOSOVO,科索沃
KUWAIT,科威特
KYRGYZSTAN,吉爾吉斯斯坦
LAOS,老撾
LATVIA,拉脫維亞
LEBANON,黎巴嫩
LESOTHO,萊索托
LIBERIA,利比里亞
LIBYA,利比亞
LIECHTENSTEIN,列支敦士登
LITHUANIA,立陶宛
LUXEMBOURG,盧森堡
MACAU,澳門
MACEDONIA,馬其頓
MADAGASCAR,馬達加斯加
MALAWI,馬拉維
MALAYSIA,馬來西亞
MALI,馬里
MALTA,馬耳他
MARSHALL ISLANDS,馬紹爾群島
MARTINIQUE,馬提尼克
MAURITANIA,毛里塔尼亞
MAURITIUS,毛里求斯
MEXICO,墨西哥
MICRONESIA,密克羅尼西亞
MOLDOVA,摩爾多瓦
MONACO,摩納哥
MONGOLIA,蒙古
MONTENEGRO,黑山
MONTSERRAT,蒙特塞拉特
MOROCCO,摩洛哥
MOZAMBIQUE,莫桑比克
MYANMAR,緬甸
NAMIBIA,納米比亞
NEPAL,尼泊爾
NETHERLANDS,荷蘭
NEW CALEDONIA,新喀裡多尼亞
NEW ZEALAND,新西蘭
NICARAGUA,尼加拉瓜
NIGER,尼日爾
NIGERIA,尼日利亞
NO. MARIANA ISLANDS,沒有。瑪麗亞娜群島
NORTH KOREA,北朝鮮
NORWAY,挪威
OMAN,阿曼
PAKISTAN,巴基斯坦
PALAU,帕勞
PANAMA,巴拿馬
PARAGUAY,巴拉圭
PERU,秘魯
PHILIPPINES,菲律賓
POLAND,波蘭
PORTUGAL,葡萄牙
PUERTO RICO,波多黎各
QATAR,卡塔爾
REUNION ISLAND,留尼汪島
ROMANIA,羅馬尼亞
RUSSIAN FEDERATION,俄羅斯聯邦
RWANDA,盧旺達
SAN MARINO,聖馬力諾
SAUDI ARABIA,沙特阿拉伯
SENEGAL,塞內加爾
SERBIA,塞爾維亞
SEYCHELLES ISLANDS,塞舌爾群島
SIERRA LEONE,塞拉利昂
SINGAPORE,新加坡
SLOVAKIA,斯洛伐克
SLOVENIA,斯洛文尼亞語
SOMALIA,索馬里
SOUTH AFRICA,南非
SOUTH KOREA,韓國
SOUTH SUDAN,南蘇丹
SPAIN,西班牙
SRI LANKA,斯里蘭卡
ST. KITTS,ST。套件
ST. LUCIA,ST。露西亞
ST. MARTIN,ST。馬丁
ST. PIERRE & MIQUELON,ST。皮埃爾和密克隆
ST. VINCENT,ST。文森特
SUDAN,蘇丹
SURINAME,蘇里南
SWAZILAND,斯威士蘭
SWEDEN,瑞典
SWITZERLAND,瑞士
SYRIA,敘利亞
TAIWAN,台灣
TAJIKISTAN,塔吉克斯坦
TANZANIA,坦桑尼亞
THAILAND,泰國
TRINIDAD & TOBAGO,特立尼達和多巴哥
TUNISIA,突尼斯
TURKEY,火雞
TURKMENISTAN,土庫曼斯坦
TURKS & CAICOS ISLANDS,特克斯和凱科斯群島
UGANDA,烏干達
UKRAINE,烏克蘭
UNITED ARAB EMIRATES,阿拉伯聯合酋長國
UNITED KINGDOM,英國
URUGUAY,烏拉圭
US VIRGIN ISLANDS,美國處女島
United States,美國
UZBEKISTAN,烏茲別克斯坦
VENEZUELA,委內瑞拉
VIETNAM,越南
YEMEN,也門
ZAMBIA,贊比亞
ZIMBABWE,津巴布韋
ASCENSION,升空
COOK ISLANDS,庫克群島
EAST TIMOR,東帝汶
FALKLAND ISLANDS,福克蘭群島
GREENLAND,格陵蘭
KIRIBATI,基里巴斯
MALDIVES,馬爾代夫
NAURU,瑙魯
Albanian Lek,阿爾巴尼亞列克
Algerian Dinar,阿爾及利亞第納爾
Aluminium Ounces,鋁盎司
Argentine Peso,阿根廷比索
Aruba Florin,阿魯巴·弗洛林（Aruba Florin）
Australian Dollar,澳元
Bahamian Dollar,巴哈馬元
Bahraini Dinar,巴林第納爾
Bangladesh Taka,孟加拉國塔卡
Barbados Dollar,巴巴多斯元
Belarus Ruble,白俄羅斯盧布
Belize Dollar,伯利茲元
Bermuda Dollar,百慕大元
Bhutan Ngultrum,不丹恩古特魯姆
Bolivian Boliviano,玻利維亞的玻利維亞諾
Brazilian Real,巴西雷亞爾
British Pound,英鎊
Brunei Dollar,文萊元
Bulgarian Lev,保加利亞列弗
Burundi Franc,布隆迪法郎
Cambodia Riel,柬埔寨瑞爾
Canadian Dollar,加拿大元
Cayman Islands Dollar,開曼群島元
CFA Franc (BCEAO),非洲金融共同體法郎（BCEAO）
CFA Franc (BEAC),非洲金融共同體法郎（BEAC）
Chilean Peso,智利比索
Chinese Yuan,人民幣元
Colombian Peso,哥倫比亞比索
Comoros Franc,科摩羅法郎
Copper Ounces,銅盎司
Costa Rica Colon,哥斯達黎加科隆
Croatian Kuna,克羅地亞庫納
Cuban Peso,古巴比索
Cyprus Pound,塞浦路斯鎊
Czech Koruna,捷克克朗
Danish Krone,丹麥克朗
Dijibouti Franc,吉布提法郎
Dominican Peso,多米尼加比索
East Caribbean Dollar,東加勒比元
Ecuador Sucre,厄瓜多爾蘇克雷
Egyptian Pound,埃及鎊
El Salvador Colon,薩爾瓦多·科隆
Eritrea Nakfa,厄立特里亞·納克法
Estonian Kroon,愛沙尼亞克朗
Ethiopian Birr,埃塞俄比亞比爾
Euro,歐元
Falkland Islands Pound,福克蘭群島磅
Gambian Dalasi,岡比亞達拉西
Ghanian Cedi,加納塞迪
Gibraltar Pound,直布羅陀磅
Gold Ounces,金盎司
Guatemala Quetzal,危地馬拉格查爾
Guinea Franc,幾內亞法郎
Haiti Gourde,海地古德
Honduras Lempira,洪都拉斯倫皮拉
Hong Kong Dollar,港元
Hungarian ForINT,匈牙利福林
Iceland Krona,冰島克朗
Indian Rupee,印度盧比
Indonesian Rupiah,印尼盾
Iran Rial,伊朗里亞爾
Israeli Shekel,以色列謝克爾
Jamaican Dollar,牙買加元
Japanese Yen,日圓
Jordanian Dinar,約旦第納爾
Kazakhstan Tenge,哈薩克斯坦堅戈
Kenyan Shilling,肯尼亞先令
Korean Won,韓元
Kuwaiti Dinar,科威特第納爾
Lao Kip,老吉
Latvian Lat,拉脫維亞語
Lebanese Pound,黎巴嫩鎊
Lesotho Loti,萊索托洛蒂
Libyan Dinar,利比亞第納爾
Lithuanian Lita,立陶宛立特
Macau Pataca,澳門帕塔卡
Macedonian Denar,馬其頓代納爾
Malagasy Franc,馬達加斯加法郎
Malawi Kwacha,馬拉維誇查
Malaysian Ringgit,馬來西亞林吉特
Maldives Rufiyaa,馬爾代夫拉菲亞
Maltese Lira,馬耳他里拉
Mauritania Ougulya,毛里塔尼亞Ougulya
Mauritius Rupee,毛里求斯盧比
Mexican Peso,墨西哥比索
Moldovan Leu,摩爾多瓦·劉
Mongolian Tugrik,蒙古圖格里克
Moroccan Dirham,摩洛哥迪拉姆
Mozambique Metical,莫桑比克梅蒂卡爾
Namibian Dollar,納米比亞元
Nepalese Rupee,尼泊爾盧比
Neth Antilles Guilder,內斯·安的列斯·吉爾德
New Turkish Lira,新土耳其里拉
New Zealand Dollar,新西蘭元
Nicaragua Cordoba,尼加拉瓜科爾多瓦
Nigerian Naira,尼日利亞奈拉
Norwegian Krone,挪威克朗
Omani Rial,阿曼里亞爾
Pacific Franc,太平洋法郎
Pakistani Rupee,巴基斯坦盧比
Palladium Ounces,鈀盎司
Panama Balboa,巴拿馬巴爾博亞
Papua New Guinea Kina,巴布亞新幾內亞基納
Paraguayan Guarani,巴拉圭瓜拉尼
Peruvian Nuevo Sol,秘魯新索爾
Philippine Peso,菲律賓比索
Platinum Ounces,白金盎司
Polish Zloty,波蘭茲羅提
Qatar Rial,卡塔爾里亞爾
Romanian Leu,羅馬尼亞列伊
Romanian New Leu,羅馬尼亞新列伊
Russian Rouble,俄羅斯盧布
Rwanda Franc,盧旺達法郎
Samoa Tala,薩摩亞塔拉
Sao Tome Dobra,聖多美多布拉
Saudi Arabian Riyal,沙特阿拉伯里亞爾
Seychelles Rupee,塞舌爾盧比
Sierra Leone Leone,塞拉利昂利昂
Silver Ounces,銀盎司
Singapore Dollar,新加坡元
Slovak Koruna,斯洛伐克克朗
Slovenian Tolar,斯洛文尼亞托拉爾
Somali Shilling,索馬里先令
South African Rand,南非蘭特
Sri Lanka Rupee,斯里蘭卡盧比
St Helena Pound,聖海倫娜鎊
Sudanese Dinar,蘇丹第納爾
Surinam Guilder,蘇里南·吉爾德
Swaziland Lilageni,斯威士蘭利拉蓋尼
Swedish Krona,瑞典克朗
Swiss Franc,瑞士法郎
Syrian Pound,敘利亞鎊
Taiwan Dollar,新台幣
Tanzanian Shilling,坦桑尼亞先令
Thai Baht,泰銖
Tonga Paanga,湯加潘加
Trinidad&Tobago Dollar,特立尼達和多巴哥元
Tunisian Dinar,突尼斯第納爾
U.S. Dollar,美元
UAE Dirham,阿聯酋迪拉姆
Ugandan Shilling,烏干達先令
Ukraine Hryvnia,烏克蘭格里夫納匯率
Uruguayan New Peso,烏拉圭新比索
Vanuatu Vatu,瓦努阿圖瓦圖
Venezuelan Bolivar,委內瑞拉玻利瓦爾
Vietnam Dong,越南東
Yemen Riyal,也門里亞爾
Zambian Kwacha,贊比亞克瓦查
Zimbabwe Dollar,津巴布韋元
Guyana Dollar,圭亞那元
Aruban florin,阿魯巴弗羅林
Armenian dram,亞美尼亞德拉姆
Azerbaijani manat,阿塞拜疆馬納特
Barbadian dollar,巴巴多斯元
Bosnian Convertible Marka,波斯尼亞可兌換馬克
Botswana pula,博茨瓦納普拉
Cape Verdean escudo,佛得角埃斯庫多
Congolese franc,剛果法郎
Fijian Dollar,斐濟元
CFP franc,CFP法郎
Georgian lari,格魯吉亞拉里
Iraqi dinar,伊拉克第納爾
Kyrgyzstani som,吉爾吉斯斯坦
Liberian dollar,利比里亞元
Malagasy ariary,馬達加斯加人的ariary
Burmese Kyat,緬甸緬元
North Korean won,朝鮮元
nuevo sol,新溶膠
Serbian dinar,塞爾維亞第納爾
South Korean won,韓元
South Sudanese pound,南蘇丹鎊
Sudanese pound,蘇丹鎊
Surinamese dollar,蘇里南元
Tajikistani samani,塔吉克斯坦薩曼尼
Turkish lira,土耳其里拉
Turkmenistan manat,土庫曼斯坦馬納特
Pound sterling,英鎊
Uzbekistani soʻm,烏茲別克斯坦
Saint Helena pound,聖海倫娜鎊
Indian Rupees,印度盧比
CLI Pool,CLI池
Download,下載
TRUE,真正
FALSE,假
--Select Type--,-選擇類型-
One Time,一度
Recurring,重複發生
Recurring Monthly,每月定期
Outbound,出站
Default,默認
Speed Dial Number Added Successfully,快速撥號號碼已成功添加
Are you sure want to confirm this invoice ? once you confirm it,您確定要確認此發票嗎？一旦確認
DIDs already purchased by someone.,已被某人購買的DID。
DIDs Assigned sucessfully!,DID已成功分配！
Something wrong.Please contact to administrator.,出了點問題。請與管理員聯繫。
Duplicate DID found from database,從數據庫中找到重複的DID
Account have not sufficient amount to purchase this DID.,帳戶沒有足夠的金額購買此DID。
Account not found or assign to invalid account,找不到帳戶或分配給無效帳戶
Duplicate DID found from import file.,從導入文件中找到重複的DID。
DIDs Imported Successfully!,DID已成功導入！
Insuffiecient fund to purchase this DID.,購買此DID的資金不足。
Balance Below Notification,餘額低於通知
Edit SIP Device,編輯SIP設備
Note : Page will display only receipts and confirmed invoices.,注意：頁面將僅顯示收據和已確認的發票。
Termination Rate Updated Successfully!,終止率已成功更新！
Import Termination Rates Using Field Mapper,使用字段映射器導入終止率
Edit Roles & Permissions,編輯角色和權限
Create Roles & Permissions,創建角色和權限
Edit Admin,編輯管理員
Pin Updated Successfully!.,引腳更新成功！
Create Termination Rate,創建終止率
Edit Company Profile,編輯公司簡介
Website,網站
Generate Invoice for no usage,不用生成發票
Commission Repots,佣金倉庫
Top Up,充值
Purchase DIDs,購買DID
Package,包
Setup,設定
DID Purchased Successfully.,DID已成功購買。
release,發布
DID Batch Updated Successfully!,DID批次已成功更新！
DID forwading set sucessfully!,DID強制設置成功！
Are you sure want to release DID?,您確定要釋放DID嗎？
Please select atleast one record,請選擇至少一條記錄
Account Balance,賬戶餘額
Next Bill Date,下一個賬單日期
TOTAL AMOUNT,總金額
Invoice,發票
IP Address,IP地址
Terminate,終止
Seconds,秒
Recording,記錄
Rates,費率
Paid,已付費
No Records,沒有記錄
Please select from date,請選擇日期
Please select to date,請選擇日期
Please select to date bigger than from date,請選擇大於日期的日期
Confirm,確認
Edit Country,編輯國家
Skip Header,跳過標題
Origination_rate_error,Origination_rate_error
Termination_rate_error,Termination_rate_error
Termination_Rates,終止率
Origination_Rates,原始房價
refill_coupon,refill_coupon
Edit Reseller,編輯轉銷商
Edit Calltype,編輯通話類型
updated successfully!,更新成功！
added successfully!,添加成功！
Invoice generation completed .,發票生成完成。
NOTE,注意
No data found.,沒有找到數據。
Added successfully!,添加成功！
DID added successfully!,DID添加成功！
DID updated successfully!,DID更新成功！
File must be in the following format(.csv):,文件必須採用以下格式（.csv）：
Process,處理
DID Import Error,DID導入錯誤
Records Imported Successfully,記錄已成功導入
Records Not Imported,記錄未導入
Back to DID List,返回DID列表
DID Batch Updated Successfully!,DID批次已成功更新！
Accessnumber Added Successfully!,Accessnumber已成功添加！
Process,處理
Accessnumber Import Error,訪問號導入錯誤
DIDs Assigned sucessfully!,DID已成功分配！
Origination Rates Preview,原始匯率預覽
Origination Rates Import Error,原始速率導入錯誤
Back to Origination Rates List,返回原始價格表
Origination Rates Batch Updated Successfully!,原始費率批次已成功更新！
Import Ratedeck Preview,導入Ratingeck預覽
CALLTYPE,通話類型
Edit Calltype,編輯通話類型
Outbound-Proxy,出站代理
Edit Trunk,編輯行李箱
Termination Rate Added Successfully!,終止率已成功添加！
Edit Termination Rate,編輯終止率
Termination Rates Import Error,終止率導入錯誤
Termination Rates Imported Successfully!,終止率已成功導入！
Back to Origination Rates List,返回原始價格表
Select,選擇
pattern,模式
comment,評論
connectcost,連接成本
includedseconds,包括秒
init_inc,init_inc
inc,公司
prepend,前置
cost ,成本
strip,跳閘
DID added successfully!,DID添加成功！
DID updated successfully!,DID更新成功！
Country Name,國家的名字
PAID,已付
PENDING,待處理
FAIL,失敗
ORDER,訂購
payment method,付款方法
Terminate Order,終止訂單
Compose Email,編寫郵件
Message,信息
Send,發送
SIP Port is Required.,SIP端口是必需的。
Start,開始
SIP Port is Required.,SIP端口是必需的。
SIP IP is Required.,SIP IP是必需的。
Name is Required.,名稱為必填項。
The SIP Port field is Required.,“ SIP端口”字段是必填字段。
The SIP Port field must contain only numbers.,SIP端口字段必須僅包含數字。
The SIP Port field can not exceed 5 characters in length.,SIP端口字段的長度不能超過5個字符。
Value is Required.,值是必需的。
Value,值
Update Setting,更新設定
Add Setting,添加設置
Edit Freeswitch Server,編輯Freeswitch服務器
CUT,切
ADD,加
Edit Localization,編輯本地化
Callbarring Settings Added Successfully!,呼叫限制設置已成功添加！
Edit Call Barring,編輯通話限制
Callbarring Settings Updated Successfully!,呼叫限制設置已成功更新！
The Name field is required.,名稱字段是必需的。
Please select file.,請選擇文件。
Database import allows only gzfile types of file.,數據庫導入僅允許使用gzfile類型的文件。
File must be in (.gz) format :,文件必須為（.gz）格式：
The Coupon Number field must contain only numbers.,優惠券編號字段必須僅包含數字。
The Coupon Number field have inactive refill coupon.,優惠券編號字段具有無效的充值優惠券。
This Coupon Number is already in use.,此優惠券號已被使用。
This Coupon Number is not found.,找不到此優惠券編號。
The Coupon Number field is required.,優惠券編號字段為必填項。
Select Customer.,選擇客戶。
Please enter your email,請輸入您的電子郵件
Please enter proper email,請輸入正確的電子郵件
The Caller ID field is required.,來電顯示字段為必填項。
Please enter your password,請輸入您的密碼
Please enter your first name,請輸入您的名字
Please enter your email,請輸入您的電子郵件
This field is require,此字段為必填項
The IP field must contain a unique value.,IP字段必須包含唯一值。
The Name field is required.,名稱字段是必需的。
The IP field is required.,IP字段是必填字段。
Please Enter Valid Account Number,請輸入有效帳號
Main,主要
--Select Disposition--,-選擇處置-
Group By #time,按＃時間分組
Active User,活躍用戶
Used Minutes,使用時間
